Číslo,Název obce,Oprávnění voliči,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
588318,Bělov,257,174,174,25,0,0,8,0,14,20,1,0,2,0,0,14,0,6,51,0,0,9,4,0,0,20,0
585076,Biskupice,564,314,314,17,1,0,16,0,15,34,2,6,15,0,0,16,0,1,102,0,1,38,2,0,2,42,4
557102,Bohuslavice nad Vláří,315,201,201,19,1,0,24,1,8,13,2,3,1,1,0,16,0,2,65,1,0,22,0,0,3,18,1
585092,Bohuslavice u Zlína,637,399,397,32,0,0,28,0,36,24,6,5,5,0,0,21,0,8,125,0,3,40,1,2,0,54,7
585106,Bratřejov,640,422,419,20,12,0,34,0,29,35,7,5,3,0,0,35,0,4,97,1,0,76,1,0,1,55,4
585114,Brumov-Bylnice,4531,2599,2582,158,7,1,239,1,159,159,19,12,41,2,1,160,1,38,765,0,3,495,23,2,4,282,10
538744,Březnice,1032,687,681,82,0,2,36,0,49,33,4,4,23,0,0,45,1,22,212,0,0,70,0,0,1,91,6
585131,Březová,375,262,261,18,1,0,14,0,16,24,3,4,1,0,0,23,0,4,71,0,0,44,0,1,0,33,4
585149,Březůvky,567,359,356,23,3,0,18,0,16,19,3,3,4,0,0,36,2,8,102,0,0,41,0,2,0,74,2
585157,Dešná,165,103,103,2,0,0,6,0,16,7,0,0,5,0,0,4,0,1,32,0,0,19,1,0,0,10,0
585165,Dobrkovice,215,143,143,11,1,0,20,0,4,7,0,5,3,0,0,3,0,0,38,0,1,29,1,0,0,20,0
585173,Dolní Lhota,504,354,353,21,1,0,17,0,20,15,2,2,1,2,0,23,0,3,84,0,3,125,2,0,1,27,4
585181,Doubravy,436,271,270,38,2,0,19,0,26,10,5,0,0,0,1,22,0,10,77,0,0,15,0,0,0,43,2
585190,Drnovice,329,217,216,5,0,0,15,0,24,6,2,5,0,0,0,15,0,5,51,0,0,73,2,0,0,13,0
585203,Držková,299,194,194,14,1,0,15,1,13,10,0,1,1,0,0,13,1,3,72,0,0,22,0,0,0,27,0
585211,Fryšták,3037,1972,1952,267,3,0,133,0,101,80,28,8,46,1,3,125,0,76,536,0,3,259,5,3,0,260,15
585220,Halenkovice,1502,887,886,49,5,1,47,3,51,97,9,5,10,1,2,70,2,21,316,0,2,61,4,0,1,124,5
585238,Haluzice,70,46,46,0,0,0,5,0,1,5,0,0,1,0,0,3,0,1,13,0,0,5,0,0,0,12,0
585246,Horní Lhota,457,315,315,35,0,0,21,0,20,23,2,2,1,0,0,33,0,19,68,1,0,65,0,1,0,24,0
585254,Hostišová,386,238,236,14,1,1,6,0,20,15,0,1,2,0,0,17,0,6,57,0,0,41,3,2,1,43,6
585262,Hrobice,381,218,217,24,3,0,21,1,18,11,2,4,1,1,0,10,0,2,49,0,0,40,0,1,0,28,1
585271,Hřivínův Újezd,452,283,283,16,0,0,20,0,17,25,1,0,1,0,0,14,0,4,92,1,0,38,0,0,0,52,2
585289,Hvozdná,1016,713,707,78,1,1,60,0,42,33,8,2,9,0,0,76,1,20,158,0,2,116,8,3,1,85,3
585301,Jasenná,761,494,493,54,1,0,28,1,41,36,6,4,16,0,1,38,0,16,130,0,2,33,4,1,2,76,3
585319,Jestřabí,232,115,115,7,1,0,15,0,8,13,0,4,1,0,0,6,0,2,22,0,0,28,0,0,1,5,2
585327,Kaňovice,225,144,143,3,0,0,8,0,4,25,2,1,2,0,0,13,0,0,27,0,2,19,1,0,0,34,2
587052,Karlovice,192,135,134,11,0,0,9,0,5,8,0,1,1,0,0,9,0,4,47,0,1,20,1,0,0,17,0
585343,Kašava,718,502,499,30,1,0,25,0,44,23,5,4,6,0,1,31,0,7,117,1,0,111,5,1,0,86,1
592251,Kelníky,127,93,93,12,0,0,7,0,2,8,3,1,1,0,0,4,0,1,15,0,2,21,0,0,0,15,1
549436,Komárov,285,187,185,6,6,0,10,1,9,13,3,0,4,0,0,17,0,4,42,0,0,25,4,3,1,34,3
586960,Křekov,138,84,82,3,0,0,7,1,11,7,0,0,0,0,0,7,0,2,11,0,0,14,0,0,0,19,0
573434,Lhota,695,448,445,22,2,0,18,1,21,24,3,2,5,0,1,53,1,9,126,0,1,104,0,3,2,42,5
549550,Lhotsko,228,141,141,9,0,0,10,0,11,3,0,2,3,0,1,21,0,8,45,0,0,5,0,1,0,22,0
549622,Lípa,683,495,490,75,2,1,20,0,22,25,2,4,8,0,0,66,0,23,132,1,0,47,1,0,0,60,1
586871,Lipová,289,199,199,13,1,0,7,0,6,14,2,3,3,0,0,14,0,3,67,0,0,31,2,0,0,31,2
585432,Loučka,429,253,250,21,0,0,9,0,16,22,1,4,4,1,0,15,1,1,68,0,1,55,0,0,0,28,3
585441,Ludkovice,575,394,392,34,0,0,36,0,16,17,4,0,14,0,0,48,0,15,112,0,0,43,2,1,0,45,5
585459,Luhačovice,4784,3247,3232,339,4,3,197,1,159,216,46,15,76,1,5,296,1,131,940,2,5,355,44,4,1,350,41
585467,Lukov,1443,945,941,134,4,0,61,0,60,51,9,4,13,0,1,76,0,25,262,0,2,140,2,0,1,85,11
557145,Lukoveček,343,259,258,31,0,0,11,0,20,15,4,1,2,0,0,18,0,10,56,0,1,20,3,0,0,64,2
585483,Lutonina,331,199,198,14,2,0,14,1,15,21,4,5,1,2,0,12,0,4,75,0,0,8,1,0,0,16,3
585491,Machová,505,310,307,9,2,4,18,0,18,23,0,6,5,0,0,16,0,2,106,0,0,45,3,0,0,48,2
585505,Mysločovice,489,352,350,40,0,0,17,0,30,24,0,2,4,0,1,26,2,8,73,0,3,64,2,1,0,50,3
585513,Napajedla,5961,3750,3695,334,14,7,197,3,160,269,60,23,46,3,3,409,1,92,1251,4,8,232,20,7,4,526,22
585521,Návojná,573,340,338,11,2,0,33,0,16,13,2,8,3,0,0,19,0,5,107,0,0,99,3,0,0,16,1
585530,Nedašov,1094,574,569,23,0,0,55,0,22,22,1,4,4,2,0,19,0,10,178,0,1,189,2,1,0,35,1
585548,Nedašova Lhota,548,322,320,21,1,0,25,2,17,7,2,3,1,0,0,6,0,2,87,0,0,125,0,1,0,19,1
585556,Neubuz,374,225,224,12,0,0,8,0,32,14,1,0,4,0,0,11,1,6,60,0,1,29,1,1,1,39,3
549444,Oldřichovice,324,207,206,6,1,0,9,0,12,16,1,3,2,0,1,18,0,1,87,0,1,19,0,0,0,29,0
557170,Ostrata,342,190,190,14,0,0,11,0,15,3,0,0,2,0,2,14,0,10,71,0,2,17,3,0,0,26,0
585599,Otrokovice,14667,8830,8770,627,27,10,726,7,397,533,119,51,151,7,7,853,9,197,2980,4,12,548,94,20,8,1332,51
556874,Petrůvka,278,175,175,19,0,0,17,1,13,19,0,0,1,0,0,17,0,1,42,0,0,21,2,0,0,21,1
534811,Podhradí,171,120,120,11,0,0,7,0,8,2,1,1,6,0,0,3,0,1,34,0,0,33,0,0,0,13,0
585611,Podkopná Lhota,279,181,180,14,0,0,12,0,7,14,1,2,3,0,0,10,0,1,57,1,0,27,0,0,0,30,1
549461,Pohořelice,721,499,494,47,2,0,38,0,25,33,7,0,6,2,1,49,2,24,113,0,0,60,2,0,2,74,7
549533,Poteč,624,443,442,24,0,0,27,0,24,15,5,1,5,0,0,47,0,4,96,0,0,139,8,0,0,44,3
549401,Pozlovice,1062,757,750,60,3,0,39,0,39,17,8,2,28,1,2,57,1,27,216,0,0,140,25,0,3,79,3
585661,Provodov,647,463,461,35,0,0,19,0,29,20,4,2,10,0,0,31,0,12,136,0,0,112,2,0,1,45,3
585670,Racková,628,443,437,42,3,0,24,0,25,28,4,1,8,3,0,40,2,18,121,0,0,50,7,2,1,54,4
556980,Rokytnice,488,290,290,14,0,0,26,0,20,21,5,2,4,0,0,17,0,2,79,0,0,42,27,0,0,30,1
586919,Rudimov,205,148,148,17,0,0,6,0,14,8,0,1,1,0,0,20,2,1,31,0,0,18,6,0,0,23,0
585726,Sazovice,590,410,407,30,1,0,28,0,17,11,4,2,1,0,1,24,1,9,148,0,2,69,3,1,0,45,10
585734,Sehradice,575,392,390,20,2,0,33,0,21,15,0,1,3,1,0,28,1,3,92,2,0,94,3,0,0,60,11
585751,Slavičín,5396,3253,3228,267,11,2,302,2,159,261,40,17,50,3,1,262,3,68,1035,3,6,356,43,3,3,317,14
585769,Slopné,455,341,341,25,0,0,21,2,28,16,4,4,2,0,0,28,0,8,62,0,0,107,1,0,1,30,2
585777,Slušovice,2348,1474,1454,171,5,3,80,1,89,72,22,9,36,4,6,142,0,46,400,2,2,181,6,2,2,155,18
585793,Spytihněv,1382,924,912,57,4,0,41,0,41,60,12,3,19,0,0,63,2,22,306,2,1,103,6,1,0,157,12
585807,Šanov,393,227,225,15,0,0,16,0,10,25,1,0,3,0,0,10,0,4,86,0,1,32,0,2,1,18,1
585815,Šarovy,214,142,141,17,1,0,10,0,7,7,3,1,3,0,0,18,0,2,42,0,0,7,1,0,0,22,0
585831,Štítná nad Vláří-Popov,1763,1105,1102,79,0,0,101,0,55,54,10,4,11,1,5,70,0,16,327,0,0,257,11,0,2,98,1
549649,Tečovice,1020,663,660,66,5,0,39,0,73,21,10,4,7,1,1,50,0,19,182,1,1,70,11,1,0,91,7
535184,Tichov,245,160,159,2,0,0,17,0,8,16,1,2,2,0,0,4,0,5,36,0,0,43,0,0,0,23,0
585858,Tlumačov,1973,1137,1130,79,4,1,65,1,54,76,17,9,11,3,1,75,1,14,399,2,1,78,10,4,0,212,13
585866,Trnava,931,565,561,42,2,0,34,0,47,49,4,3,7,0,1,23,0,6,162,0,1,100,3,0,0,74,3
585874,Ublo,235,142,141,20,1,0,14,1,7,14,2,1,1,0,0,10,0,4,48,0,0,7,3,0,0,8,0
585882,Újezd,980,566,561,24,0,1,50,1,81,40,7,3,8,0,2,57,0,9,119,0,3,81,4,0,5,62,4
585891,Valašské Klobouky,4050,2496,2481,235,4,0,152,1,225,156,22,12,43,4,4,224,0,55,647,2,0,446,6,0,0,234,9
585912,Velký Ořechov,607,437,435,45,1,0,18,0,15,26,1,0,4,0,1,21,0,8,149,0,0,55,2,0,2,82,5
585921,Veselá,651,445,442,49,1,0,41,0,30,16,3,2,7,2,0,38,4,14,125,0,0,40,3,1,1,63,2
585939,Vizovice,3872,2402,2381,293,15,2,129,0,216,113,34,9,25,4,3,250,3,96,611,2,3,252,9,2,2,273,35
586994,Vlachova Lhota,189,99,98,17,0,0,9,0,18,6,0,1,1,0,0,5,0,1,19,0,0,12,0,1,0,8,0
585955,Vlachovice,1216,768,761,34,0,0,48,1,110,55,6,7,8,0,1,39,1,17,234,0,1,130,3,0,1,62,3
585963,Vlčková,328,207,206,18,3,0,16,0,11,12,0,6,1,0,0,16,0,6,64,0,1,17,1,1,1,31,1
585971,Všemina,915,602,601,39,0,1,43,0,18,24,5,3,7,0,3,31,0,11,208,0,0,122,3,1,0,70,12
585980,Vysoké Pole,658,366,365,6,0,0,32,0,61,15,5,2,3,1,0,24,0,6,103,0,0,71,0,1,0,35,0
585998,Zádveřice-Raková,1149,706,699,75,1,2,55,1,58,44,9,3,9,0,1,60,0,23,220,0,0,26,7,2,1,91,11
585068,Zlín,61206,39202,38975,4438,137,42,2411,28,3060,1828,533,192,802,42,44,3794,30,1690,11686,31,64,2970,359,70,26,4403,295
500011,Želechovice nad Dřevnicí,1598,1041,1032,113,0,1,84,2,88,40,8,6,16,1,1,98,1,38,264,0,2,110,7,0,0,144,8
586013,Žlutava,916,624,621,86,5,0,30,0,25,40,4,3,17,0,0,58,0,10,211,1,0,42,19,1,1,63,5
